No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2013,3,1,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,E,0.5,Changping
2,2013,3,1,1,3.0,6.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Changping
3,2013,3,1,2,3.0,6.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Changping
4,2013,3,1,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Changping
5,2013,3,1,4,3.0,6.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Changping
6,2013,3,1,5,3.0,6.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Changping
7,2013,3,1,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Changping
8,2013,3,1,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Changping
9,2013,3,1,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Changping
10,2013,3,1,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Changping
11,2013,3,1,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Changping
12,2013,3,1,11,3.0,6.0,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Changping
13,2013,3,1,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,0.0,N,3.0,Changping
14,2013,3,1,13,3.0,101.0,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,0.0,NE,4.4,Changping
15,2013,3,1,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,0.0,N,3.6,Changping
16,2013,3,1,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,N,3.2,Changping
17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2,Changping
18,2013,3,1,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Changping
19,2013,3,1,18,4.0,17.0,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,NE,3.6,Changping
20,2013,3,1,19,7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Changping
21,2013,3,1,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,NE,1.7,Changping
22,2013,3,1,21,7.0,16.0,34.0,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,E,2.3,Changping
23,2013,3,1,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,E,0.0,Changping
24,2013,3,1,23,7.0,12.0,43.0,25.0,500.0,65.0,0.3,1027.0,-16.6,0.0,NE,1.5,Changping
25,2013,3,2,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,SW,3.0,Changping
26,2013,3,2,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,Changping
27,2013,3,2,2,13.0,9.0,7.0,56.0,800.0,33.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,Changping
28,2013,3,2,3,14.0,24.0,23.0,42.0,800.0,46.0,-2.5,1027.7,-17.4,0.0,SW,1.7,Changping
